OrderID,ProductName,Category,Quantity,Price,Revenue,OrderDate
ORD-100049,Sunscreen,Beauty,1,19.21,19.21,2025-08-13
ORD-100050,Lipstick Set,Beauty,6,11.77,70.62,2024-07-13
ORD-100051,Storage Container Set,Home & Kitchen,6,25.44,152.64,2025-03-09
ORD-100052,Yoga Mat,Sports,4,42.15,168.6,2025-11-20
ORD-100053,Non-stick Pan,Home & Kitchen,4,51.96,207.84,2025-02-16
ORD-100054,Face Serum,Beauty,6,23.95,143.7,2024-09-11
ORD-100055,Electric Kettle,Home & Kitchen,7,25.68,179.76,2025-03-08
ORD-100056,Cotton T-Shirt,Clothing,5,21.0,105.0,2025-03-29
ORD-100057,Yoga Mat,Sports,3,36.99,110.97,2024-02-21
ORD-100058,Non-stick Pan,Home & Kitchen,2,57.48,114.96,2024-04-05
ORD-100059,Dumbbell Set,Sports,4,78.95,315.8,2025-02-20
ORD-100060,Laptop Sleeve,Electronics,2,29.08,58.16,2024-03-01
ORD-100061,Laptop Sleeve,Electronics,6,64.26,385.56,2024-09-28
ORD-100062,Hair Dryer,Beauty,3,74.8,224.4,2025-03-09
ORD-100063,Sunscreen,Beauty,2,29.31,58.62,2025-11-08
ORD-100064,Bluetooth Speaker,Electronics,2,98.84,197.68,2024-08-10
ORD-100065,Vacuum Cleaner,Home & Kitchen,5,218.13,1090.65,2024-03-03
ORD-100066,Smartwatch,Electronics,3,202.0,606.0,2025-05-03
ORD-100067,Dumbbell Set,Sports,1,128.78,128.78,2024-02-28
ORD-100068,Smartphone Case,Electronics,2,24.46,48.92,2024-03-11
ORD-100069,Moisturizer,Beauty,2,17.02,34.04,2025-02-17
ORD-100070,Dumbbell Set,Sports,3,104.04,312.12,2025-08-15
ORD-100071,Air Fryer,Home & Kitchen,2,158.44,316.88,2025-11-04
ORD-100072,Storage Container Set,Home & Kitchen,5,36.31,181.55,2024-07-28
ORD-100073,Running Jacket,Clothing,6,40.64,243.84,2025-02-09
ORD-100074,Air Fryer,Home & Kitchen,6,234.12,1404.72,2024-11-19
ORD-100075,Yoga Mat,Sports,3,38.65,115.95,2025-04-14
ORD-100076,Non-stick Pan,Home & Kitchen,3,44.67,134.01,2024-03-16
ORD-100077,Electric Kettle,Home & Kitchen,5,68.0,340.0,2024-12-23
ORD-100078,Cycling Helmet,Sports,6,29.66,177.96,2024-10-18
ORD-100079,Cycling Helmet,Sports,5,82.73,413.65,2025-09-18
ORD-100080,Sunscreen,Beauty,6,21.28,127.68,2024-01-09
ORD-100081,Non-stick Pan,Home & Kitchen,6,27.01,162.06,2024-05-17
ORD-100082,Fitness Tracker,Sports,6,67.18,403.08,2024-06-08
ORD-100083,Storage Container Set,Home & Kitchen,5,37.44,187.2,2024-07-27
ORD-100084,Fitness Tracker,Sports,3,65.0,195.0,2025-05-15
ORD-100085,Yoga Mat,Sports,3,39.18,117.54,2024-04-04
ORD-100086,Face Serum,Beauty,3,33.88,101.64,2024-01-04
ORD-100087,Bluetooth Speaker,Electronics,5,76.39,381.95,2024-06-14
ORD-100088,Air Fryer,Home & Kitchen,5,54.39,271.95,2025-07-28
ORD-100089,Smartphone Case,Electronics,2,11.77,23.54,2025-07-12
ORD-100090,Hoodie,Clothing,2,53.44,106.88,2024-05-31
ORD-100091,Bluetooth Speaker,Electronics,4,87.93,351.72,2024-02-10
ORD-100092,Smartphone Case,Electronics,4,17.94,71.76,2025-11-13
ORD-100093,Lipstick Set,Beauty,2,30.18,60.36,2025-09-27
ORD-100094,Dumbbell Set,Sports,6,160.7,964.2,2024-06-15
ORD-100095,Lipstick Set,Beauty,2,14.48,28.96,2024-01-26
ORD-100096,Football,Sports,5,41.25,206.25,2025-11-16
ORD-100097,Hair Dryer,Beauty,4,81.8,327.2,2024-06-12
ORD-100098,Wireless Earbuds,Electronics,7,56.71,396.97,2025-04-26
ORD-100099,Lipstick Set,Beauty,4,21.86,87.44,2024-12-24
ORD-100100,Moisturizer,Beauty,1,11.72,11.72,2024-08-16
ORD-100101,Bluetooth Speaker,Electronics,4,78.52,314.08,2024-10-12
ORD-100102,Cycling Helmet,Sports,6,74.42,446.52,2024-12-25
ORD-100103,Hoodie,Clothing,5,109.13,545.65,2024-12-05
ORD-100104,Bluetooth Speaker,Electronics,4,72.79,291.16,2024-07-01
ORD-100105,Yoga Mat,Sports,2,41.1,82.2,2024-04-21
ORD-100106,Running Jacket,Clothing,6,84.14,504.84,2025-03-22
ORD-100107,Air Fryer,Home & Kitchen,2,85.78,171.56,2025-08-13
ORD-100108,Laptop Sleeve,Electronics,1,41.64,41.64,2024-01-02
ORD-100109,Moisturizer,Beauty,3,27.5,82.5,2025-01-07
ORD-100110,Cycling Helmet,Sports,1,41.92,41.92,2025-09-30
ORD-100111,Cycling Helmet,Sports,4,36.67,146.68,2025-06-03
ORD-100112,Sneakers,Clothing,7,88.41,618.87,2025-12-14
ORD-100113,Laptop Sleeve,Electronics,4,86.19,344.76,2025-11-11
ORD-100114,Moisturizer,Beauty,3,30.69,92.07,2025-09-22
ORD-100115,Cotton T-Shirt,Clothing,2,14.68,29.36,2024-11-07
ORD-100116,Hoodie,Clothing,4,60.9,243.6,2025-09-13
ORD-100117,Sneakers,Clothing,2,66.19,132.38,2025-11-22
ORD-100118,Electric Kettle,Home & Kitchen,2,26.01,52.02,2025-11-05
ORD-100119,Vacuum Cleaner,Home & Kitchen,3,98.07,294.21,2024-12-09
ORD-100120,Dumbbell Set,Sports,3,73.47,220.41,2025-11-19
ORD-100121,Moisturizer,Beauty,4,11.44,45.76,2024-01-26
ORD-100122,Fitness Tracker,Sports,4,99.48,397.92,2024-03-15
ORD-100123,Fitness Tracker,Sports,1,130.93,130.93,2024-07-18
ORD-100124,Sneakers,Clothing,5,50.04,250.2,2024-09-06
ORD-100125,Face Serum,Beauty,3,23.04,69.12,2025-03-11
ORD-100126,Sunscreen,Beauty,2,9.21,18.42,2025-04-20
ORD-100127,Cotton T-Shirt,Clothing,2,9.8,19.6,2025-04-12
ORD-100128,Hoodie,Clothing,6,74.96,449.76,2025-07-26
ORD-100129,Football,Sports,3,36.9,110.7,2025-09-19
ORD-100130,Football,Sports,3,21.87,65.61,2025-07-15
ORD-100131,Laptop Sleeve,Electronics,4,30.79,123.16,2025-04-05
ORD-100132,Running Jacket,Clothing,2,72.28,144.56,2025-06-17
ORD-100133,Laptop Sleeve,Electronics,2,46.58,93.16,2024-03-20
ORD-100134,Bluetooth Speaker,Electronics,2,97.27,194.54,2024-11-23
ORD-100135,Smartphone Case,Electronics,3,20.51,61.53,2024-08-24
ORD-100136,Smartphone Case,Electronics,5,21.13,105.65,2024-03-06
ORD-100137,Sneakers,Clothing,4,42.14,168.56,2025-03-01
ORD-100138,Football,Sports,2,39.13,78.26,2025-08-21
ORD-100139,Smartwatch,Electronics,2,145.97,291.94,2025-01-24
ORD-100140,Cycling Helmet,Sports,4,89.83,359.32,2025-02-03
ORD-100141,Football,Sports,1,31.07,31.07,2025-07-05
ORD-100142,Vacuum Cleaner,Home & Kitchen,2,188.17,376.34,2024-08-13
ORD-100143,Sneakers,Clothing,5,77.86,389.3,2024-01-30
ORD-100144,Air Fryer,Home & Kitchen,6,192.42,1154.52,2024-06-18
ORD-100145,Fitness Tracker,Sports,2,36.41,72.82,2025-06-30
ORD-100146,Hoodie,Clothing,4,27.72,110.88,2025-11-09
ORD-100147,Electric Kettle,Home & Kitchen,2,25.74,51.48,2025-04-17
ORD-100148,Running Jacket,Clothing,6,65.21,391.26,2024-08-04
ORD-100149,Sneakers,Clothing,3,124.34,373.02,2024-10-11
ORD-100150,Cycling Helmet,Sports,5,52.6,263.0,2024-03-24
ORD-100151,Face Serum,Beauty,2,30.71,61.42,2024-12-24
ORD-100152,Wireless Earbuds,Electronics,4,119.84,479.36,2024-02-01
ORD-100153,Wireless Earbuds,Electronics,4,52.14,208.56,2025-09-28
ORD-100154,Wireless Earbuds,Electronics,3,125.43,376.29,2025-07-31
ORD-100155,Running Jacket,Clothing,5,44.91,224.55,2025-01-12
ORD-100156,Non-stick Pan,Home & Kitchen,3,66.17,198.51,2024-06-16
ORD-100157,Wireless Earbuds,Electronics,5,122.35,611.75,2024-11-15
ORD-100158,Football,Sports,3,33.48,100.44,2025-02-10
ORD-100159,Smartwatch,Electronics,3,388.74,1166.22,2025-12-08
ORD-100160,Running Jacket,Clothing,4,117.61,470.44,2025-12-01
ORD-100161,Smartwatch,Electronics,4,162.41,649.64,2024-02-12
ORD-100162,Running Jacket,Clothing,6,83.0,498.0,2024-03-11
ORD-100163,Sneakers,Clothing,2,47.77,95.54,2025-05-16
ORD-100164,Football,Sports,3,16.54,49.62,2025-12-25
ORD-100165,Smartwatch,Electronics,4,124.95,499.8,2025-10-28
ORD-100166,Sunscreen,Beauty,4,18.93,75.72,2025-05-10
ORD-100167,Sunscreen,Beauty,4,14.84,59.36,2024-10-01
ORD-100168,Cotton T-Shirt,Clothing,3,21.35,64.05,2024-10-12
ORD-100169,Sneakers,Clothing,3,102.67,308.01,2025-08-06
ORD-100170,Cotton T-Shirt,Clothing,3,21.4,64.2,2025-05-21
ORD-100171,Smartphone Case,Electronics,4,42.97,171.88,2024-12-29
ORD-100172,Hoodie,Clothing,2,122.45,244.9,2025-12-19
ORD-100173,Vacuum Cleaner,Home & Kitchen,1,85.95,85.95,2024-07-14
ORD-100174,Lipstick Set,Beauty,5,28.21,141.05,2025-07-22
ORD-100175,Lipstick Set,Beauty,4,29.83,119.32,2025-04-03
ORD-100176,Smartphone Case,Electronics,3,29.08,87.24,2025-02-18
ORD-100177,Hoodie,Clothing,1,60.38,60.38,2025-01-12
ORD-100178,Air Fryer,Home & Kitchen,2,108.33,216.66,2025-07-17
ORD-100179,Hair Dryer,Beauty,3,46.97,140.91,2024-11-09
ORD-100180,Smartphone Case,Electronics,2,19.36,38.72,2024-11-19
ORD-100181,Electric Kettle,Home & Kitchen,4,28.96,115.84,2024-07-15
ORD-100182,Vacuum Cleaner,Home & Kitchen,3,174.91,524.73,2025-06-21
ORD-100183,Dumbbell Set,Sports,4,57.48,229.92,2024-10-30
ORD-100184,Wireless Earbuds,Electronics,3,103.94,311.82,2025-12-26
ORD-100185,Cotton T-Shirt,Clothing,3,15.72,47.16,2025-07-20
ORD-100186,Football,Sports,5,39.02,195.1,2024-04-15
ORD-100187,Air Fryer,Home & Kitchen,2,117.29,234.58,2025-05-05
ORD-100188,Wireless Earbuds,Electronics,4,116.37,465.48,2024-09-15
ORD-100189,Non-stick Pan,Home & Kitchen,4,39.08,156.32,2025-02-14
ORD-100190,Non-stick Pan,Home & Kitchen,1,21.49,21.49,2024-06-04
ORD-100191,Storage Container Set,Home & Kitchen,4,46.53,186.12,2024-03-28
ORD-100192,Laptop Sleeve,Electronics,1,43.81,43.81,2025-09-12
ORD-100193,Vacuum Cleaner,Home & Kitchen,3,166.3,498.9,2025-01-24
ORD-100194,Hoodie,Clothing,5,42.73,213.65,2025-03-15
ORD-100195,Vacuum Cleaner,Home & Kitchen,2,237.34,474.68,2024-04-11
ORD-100196,Smartphone Case,Electronics,3,29.0,87.0,2024-09-27
ORD-100197,Smartphone Case,Electronics,4,12.03,48.12,2025-07-19
ORD-100198,Laptop Sleeve,Electronics,4,63.57,254.28,2025-12-06
ORD-100199,Denim Jeans,Clothing,1,43.14,43.14,2024-10-22
ORD-100200,Lipstick Set,Beauty,5,26.89,134.45,2024-03-13
ORD-100201,Fitness Tracker,Sports,4,160.25,641.0,2025-11-08
ORD-100202,Wireless Earbuds,Electronics,5,55.46,277.3,2025-07-11
ORD-100203,Bluetooth Speaker,Electronics,4,29.13,116.52,2024-05-25
ORD-100204,Bluetooth Speaker,Electronics,4,76.57,306.28,2025-09-01
ORD-100205,Storage Container Set,Home & Kitchen,4,17.32,69.28,2025-03-25
ORD-100206,Lipstick Set,Beauty,4,22.16,88.64,2024-10-05
ORD-100207,Non-stick Pan,Home & Kitchen,4,17.24,68.96,2025-09-04
ORD-100208,Running Jacket,Clothing,7,48.4,338.8,2025-09-10
ORD-100209,Smartwatch,Electronics,2,287.44,574.88,2025-08-24
ORD-100210,Cycling Helmet,Sports,3,21.02,63.06,2025-08-13
ORD-100211,Lipstick Set,Beauty,3,26.71,80.13,2025-06-15
ORD-100212,Dumbbell Set,Sports,4,79.69,318.76,2025-08-22
ORD-100213,Face Serum,Beauty,3,32.82,98.46,2025-04-26
ORD-100214,Cotton T-Shirt,Clothing,2,14.78,29.56,2024-06-13
ORD-100215,Hair Dryer,Beauty,7,119.16,834.12,2025-11-09
ORD-100216,Sunscreen,Beauty,6,17.56,105.36,2024-02-07
ORD-100217,Running Jacket,Clothing,2,113.59,227.18,2024-04-28
ORD-100218,Hoodie,Clothing,3,67.71,203.13,2024-01-02
ORD-100219,Air Fryer,Home & Kitchen,3,79.42,238.26,2024-02-25
ORD-100220,Sneakers,Clothing,3,87.02,261.06,2025-10-02
ORD-100221,Bluetooth Speaker,Electronics,4,35.65,142.6,2025-07-16
ORD-100222,Sneakers,Clothing,6,36.33,217.98,2024-05-04
ORD-100223,Electric Kettle,Home & Kitchen,2,28.03,56.06,2025-12-27
ORD-100224,Vacuum Cleaner,Home & Kitchen,3,85.42,256.26,2025-02-21
ORD-100225,Yoga Mat,Sports,4,47.13,188.52,2025-04-17
ORD-100226,Electric Kettle,Home & Kitchen,2,61.17,122.34,2025-05-25
ORD-100227,Running Jacket,Clothing,2,103.13,206.26,2025-03-01
ORD-100228,Dumbbell Set,Sports,3,96.48,289.44,2025-04-12
ORD-100229,Hoodie,Clothing,3,76.28,228.84,2025-06-04
ORD-100230,Wireless Earbuds,Electronics,3,100.44,301.32,2024-10-09
ORD-100231,Cycling Helmet,Sports,2,43.64,87.28,2025-06-03
ORD-100232,Bluetooth Speaker,Electronics,2,62.62,125.24,2025-08-24
ORD-100233,Electric Kettle,Home & Kitchen,5,41.08,205.4,2025-04-02
ORD-100234,Hoodie,Clothing,5,52.26,261.3,2025-07-10
ORD-100235,Dumbbell Set,Sports,5,66.28,331.4,2025-12-15
ORD-100236,Sneakers,Clothing,3,67.61,202.83,2024-02-14
ORD-100237,Air Fryer,Home & Kitchen,3,200.3,600.9,2025-01-30
ORD-100238,Moisturizer,Beauty,4,49.98,199.92,2025-05-22
ORD-100239,Smartwatch,Electronics,5,324.66,1623.3,2024-12-05
ORD-100240,Football,Sports,3,28.62,85.86,2024-04-12
ORD-100241,Denim Jeans,Clothing,4,55.02,220.08,2025-02-23
ORD-100242,Yoga Mat,Sports,3,47.97,143.91,2025-04-25
ORD-100243,Hoodie,Clothing,1,58.51,58.51,2025-12-10
ORD-100244,Bluetooth Speaker,Electronics,4,117.77,471.08,2025-11-21
ORD-100245,Running Jacket,Clothing,1,84.28,84.28,2025-10-03
ORD-100246,Sunscreen,Beauty,1,21.77,21.77,2024-02-06
ORD-100247,Bluetooth Speaker,Electronics,4,63.06,252.24,2024-08-20
ORD-100248,Cotton T-Shirt,Clothing,4,20.87,83.48,2025-10-10
ORD-100249,Smartphone Case,Electronics,2,26.55,53.1,2025-12-11
ORD-100250,Bluetooth Speaker,Electronics,5,46.07,230.35,2024-02-27
ORD-100251,Denim Jeans,Clothing,4,40.96,163.84,2024-09-07
ORD-100252,Electric Kettle,Home & Kitchen,5,26.57,132.85,2024-06-23
ORD-100253,Air Fryer,Home & Kitchen,5,150.02,750.1,2025-09-26
ORD-100254,Vacuum Cleaner,Home & Kitchen,7,124.09,868.63,2024-05-26
ORD-100255,Air Fryer,Home & Kitchen,2,155.19,310.38,2024-09-18
ORD-100256,Football,Sports,3,30.24,90.72,2024-10-21
ORD-100257,Laptop Sleeve,Electronics,1,76.0,76.0,2024-12-19
ORD-100258,Sneakers,Clothing,4,80.5,322.0,2025-12-07
ORD-100259,Dumbbell Set,Sports,1,135.21,135.21,2025-01-28
ORD-100260,Laptop Sleeve,Electronics,4,34.9,139.6,2025-08-08
ORD-100261,Running Jacket,Clothing,2,119.26,238.52,2024-01-23
ORD-100262,Storage Container Set,Home & Kitchen,2,30.67,61.34,2024-01-09
ORD-100263,Face Serum,Beauty,4,50.74,202.96,2025-09-12
ORD-100264,Cycling Helmet,Sports,3,57.57,172.71,2024-08-23
ORD-100265,Denim Jeans,Clothing,2,29.84,59.68,2025-09-27
ORD-100266,Moisturizer,Beauty,3,12.86,38.58,2025-10-05
ORD-100267,Non-stick Pan,Home & Kitchen,2,72.46,144.92,2024-11-12
ORD-100268,Bluetooth Speaker,Electronics,3,34.77,104.31,2024-05-14
ORD-100269,Sneakers,Clothing,6,62.09,372.54,2024-06-28
ORD-100270,Hair Dryer,Beauty,6,60.64,363.84,2025-06-27
ORD-100271,Denim Jeans,Clothing,1,57.37,57.37,2024-09-20
ORD-100272,Cycling Helmet,Sports,2,85.73,171.46,2024-12-12
ORD-100273,Cotton T-Shirt,Clothing,3,21.44,64.32,2024-05-24
ORD-100274,Laptop Sleeve,Electronics,6,33.19,199.14,2025-07-24
ORD-100275,Face Serum,Beauty,2,44.82,89.64,2024-09-27
ORD-100276,Running Jacket,Clothing,1,59.39,59.39,2025-08-21
ORD-100277,Storage Container Set,Home & Kitchen,5,30.27,151.35,2024-04-20
ORD-100278,Vacuum Cleaner,Home & Kitchen,3,145.15,435.45,2025-07-28
ORD-100279,Non-stick Pan,Home & Kitchen,6,60.31,361.86,2025-10-12
ORD-100280,Cycling Helmet,Sports,4,50.04,200.16,2025-10-26
ORD-100281,Wireless Earbuds,Electronics,3,186.32,558.96,2024-11-07
ORD-100282,Smartphone Case,Electronics,3,14.44,43.32,2025-07-04
ORD-100283,Hoodie,Clothing,4,63.85,255.4,2025-03-05
ORD-100284,Lipstick Set,Beauty,3,13.36,40.08,2025-11-01
ORD-100285,Air Fryer,Home & Kitchen,3,54.57,163.71,2024-10-13
ORD-100286,Sneakers,Clothing,4,135.53,542.12,2025-03-31
ORD-100287,Yoga Mat,Sports,4,28.83,115.32,2025-12-03
ORD-100288,Cycling Helmet,Sports,3,47.32,141.96,2024-03-03
ORD-100289,Wireless Earbuds,Electronics,6,46.45,278.7,2025-04-10
ORD-100290,Smartwatch,Electronics,2,99.95,199.9,2024-01-22
ORD-100291,Denim Jeans,Clothing,2,26.85,53.7,2025-08-01
ORD-100292,Sunscreen,Beauty,2,21.46,42.92,2024-07-31
ORD-100293,Moisturizer,Beauty,2,46.69,93.38,2024-12-02
ORD-100294,Sunscreen,Beauty,4,14.41,57.64,2024-01-03
ORD-100295,Dumbbell Set,Sports,5,59.97,299.85,2025-07-07
ORD-100296,Wireless Earbuds,Electronics,2,39.08,78.16,2024-05-14
ORD-100297,Moisturizer,Beauty,4,19.78,79.12,2025-08-25
ORD-100298,Wireless Earbuds,Electronics,4,104.02,416.08,2024-05-09
ORD-100299,Non-stick Pan,Home & Kitchen,7,38.71,270.97,2025-05-02
ORD-100300,Hoodie,Clothing,5,56.25,281.25,2024-04-21
ORD-100301,Smartwatch,Electronics,2,209.87,419.74,2024-02-14
ORD-100302,Fitness Tracker,Sports,2,108.76,217.52,2024-11-04
ORD-100303,Yoga Mat,Sports,7,48.38,338.66,2025-05-05
ORD-100304,Cotton T-Shirt,Clothing,7,19.87,139.09,2025-05-17
ORD-100305,Cotton T-Shirt,Clothing,3,22.4,67.2,2024-11-25
ORD-100306,Bluetooth Speaker,Electronics,4,60.16,240.64,2025-10-01
ORD-100307,Storage Container Set,Home & Kitchen,1,42.94,42.94,2025-01-25
ORD-100308,Air Fryer,Home & Kitchen,5,152.71,763.55,2025-06-01
ORD-100309,Wireless Earbuds,Electronics,2,138.38,276.76,2025-11-01
ORD-100310,Moisturizer,Beauty,3,27.65,82.95,2025-03-16
ORD-100311,Bluetooth Speaker,Electronics,6,59.61,357.66,2025-04-09
ORD-100312,Hair Dryer,Beauty,2,45.75,91.5,2025-03-13
ORD-100313,Denim Jeans,Clothing,3,77.77,233.31,2025-12-04
ORD-100314,Wireless Earbuds,Electronics,3,63.21,189.63,2024-04-05
ORD-100315,Hair Dryer,Beauty,3,66.21,198.63,2024-05-13
ORD-100316,Vacuum Cleaner,Home & Kitchen,4,137.19,548.76,2025-07-29
ORD-100317,Bluetooth Speaker,Electronics,2,108.77,217.54,2025-11-12
ORD-100318,Cotton T-Shirt,Clothing,3,17.44,52.32,2024-10-21
ORD-100319,Hoodie,Clothing,4,39.09,156.36,2025-06-03
ORD-100320,Electric Kettle,Home & Kitchen,3,31.98,95.94,2024-04-20
ORD-100321,Non-stick Pan,Home & Kitchen,5,44.13,220.65,2024-10-12
ORD-100322,Sunscreen,Beauty,5,21.74,108.7,2025-09-28
ORD-100323,Non-stick Pan,Home & Kitchen,4,58.44,233.76,2025-09-15
ORD-100324,Hair Dryer,Beauty,2,38.75,77.5,2024-01-30
ORD-100325,Hair Dryer,Beauty,4,51.62,206.48,2024-12-13
ORD-100326,Smartphone Case,Electronics,2,28.7,57.4,2025-08-02
ORD-100327,Wireless Earbuds,Electronics,3,109.6,328.8,2024-04-03
ORD-100328,Laptop Sleeve,Electronics,4,30.5,122.0,2025-04-09
ORD-100329,Running Jacket,Clothing,5,86.61,433.05,2025-08-04
ORD-100330,Dumbbell Set,Sports,3,117.5,352.5,2024-06-10
ORD-100331,Wireless Earbuds,Electronics,3,71.63,214.89,2024-10-05
ORD-100332,Hoodie,Clothing,2,46.12,92.24,2025-03-28
ORD-100333,Smartwatch,Electronics,2,153.43,306.86,2024-04-26
ORD-100334,Smartwatch,Electronics,5,163.58,817.9,2025-05-13
ORD-100335,Denim Jeans,Clothing,6,60.93,365.58,2025-02-08
ORD-100336,Smartphone Case,Electronics,2,49.63,99.26,2024-11-04
ORD-100337,Hair Dryer,Beauty,3,44.85,134.55,2024-10-23
ORD-100338,Laptop Sleeve,Electronics,2,28.1,56.2,2024-06-28
ORD-100339,Electric Kettle,Home & Kitchen,5,37.84,189.2,2025-05-27
ORD-100340,Storage Container Set,Home & Kitchen,2,27.24,54.48,2024-03-14
ORD-100341,Lipstick Set,Beauty,3,20.62,61.86,2024-01-20
ORD-100342,Bluetooth Speaker,Electronics,4,48.94,195.76,2025-08-12
ORD-100343,Sneakers,Clothing,2,44.16,88.32,2024-10-23
ORD-100344,Bluetooth Speaker,Electronics,4,95.82,383.28,2024-06-24
ORD-100345,Storage Container Set,Home & Kitchen,6,24.32,145.92,2024-03-31
ORD-100346,Laptop Sleeve,Electronics,4,36.2,144.8,2025-08-26
ORD-100347,Bluetooth Speaker,Electronics,2,58.3,116.6,2024-12-13
ORD-100348,Face Serum,Beauty,2,48.81,97.62,2025-06-06
ORD-100349,Electric Kettle,Home & Kitchen,4,41.28,165.12,2024-12-23
ORD-100350,Dumbbell Set,Sports,6,30.31,181.86,2024-08-29
ORD-100351,Denim Jeans,Clothing,2,26.23,52.46,2025-09-08
ORD-100352,Face Serum,Beauty,1,72.84,72.84,2024-06-30
ORD-100353,Air Fryer,Home & Kitchen,4,183.67,734.68,2025-07-31
ORD-100354,Hoodie,Clothing,2,56.77,113.54,2025-10-20
ORD-100355,Storage Container Set,Home & Kitchen,3,29.84,89.52,2024-06-03
ORD-100356,Running Jacket,Clothing,1,76.16,76.16,2024-10-08
ORD-100357,Cotton T-Shirt,Clothing,1,21.35,21.35,2024-11-13
ORD-100358,Bluetooth Speaker,Electronics,2,28.8,57.6,2024-10-20
ORD-100359,Yoga Mat,Sports,2,33.58,67.16,2025-09-21
ORD-100360,Hoodie,Clothing,2,88.78,177.56,2025-07-21
ORD-100361,Face Serum,Beauty,6,61.42,368.52,2025-04-05
ORD-100362,Electric Kettle,Home & Kitchen,2,51.23,102.46,2024-11-25
ORD-100363,Non-stick Pan,Home & Kitchen,2,21.57,43.14,2025-04-06
ORD-100364,Cycling Helmet,Sports,5,49.71,248.55,2024-03-27
ORD-100365,Smartphone Case,Electronics,1,24.35,24.35,2025-12-25
ORD-100366,Hoodie,Clothing,3,28.69,86.07,2025-09-16
ORD-100367,Running Jacket,Clothing,1,67.95,67.95,2025-01-31
